id	pos	p1	ihh12
206	53073	0.002	0.0118217
207	53116	0.006	0.0117228
208	53493	0.54	0.0108609
209	53929	0.19	0.00977852
210	54354	0.332	0.00971418
211	54602	0.002	0.00983612
212	54703	0.002	0.00989403
213	54771	0.19	0.00981358
214	55401	0.436	0.00966595
215	55552	0.042	0.0098024
216	55896	0.19	0.00981478
217	56257	0.01	0.0106732
218	56479	0.374	0.0107006
219	56710	0.11	0.010534
220	57204	0.172	0.00965196
221	57962	0.002	0.0103103
222	57981	0.008	0.0101589
223	58117	0.022	0.0101953
224	58256	0.374	0.0104962
225	58287	0.004	0.010486
226	58377	0.004	0.0105262
227	58590	0.012	0.0104336
228	58958	0.002	0.0105178
229	59106	0.002	0.0105103
230	59337	0.374	0.0105155
231	60040	0.348	0.0104112
232	60087	0.108	0.0101301
233	60394	0.002	0.0100191
234	60515	0.108	0.0100484
235	60536	0.134	0.00943781
236	60871	0.002	0.0107156
237	61133	0.108	0.0106941
238	61243	0.002	0.010863
239	61347	0.006	0.0108379
240	61614	0.016	0.0105573
241	62109	0.018	0.010713
242	62956	0.222	0.00968074
243	62982	0.008	0.0108741
244	62990	0.014	0.0108855
245	63233	0.498	0.0101689
246	63458	0.106	0.00969918
247	63776	0.108	0.0104659
248	63906	0.002	0.0105062
249	64096	0.012	0.0100362
250	64490	0.004	0.0101337
251	64782	0.446	0.00963567
252	64921	0.374	0.00967266
253	65567	0.07	0.0101017
254	65647	0.068	0.0101239
255	67115	0.252	0.00932704
256	67241	0.004	0.0102402
257	67283	0.002	0.0103012
258	67399	0.488	0.0094542
259	67881	0.444	0.00972935
260	67948	0.096	0.0093548
261	68510	0.444	0.00975395
262	68527	0.556	0.00975395
263	68650	0.116	0.0104762
264	68687	0.002	0.0104628
265	68724	0.004	0.0104582
266	69072	0.884	0.0105246
267	69248	0.004	0.0104932
268	69655	0.062	0.00969718
269	69710	0.03	0.00981054
270	69728	0.116	0.0102761
271	70022	0.116	0.0102761
272	70031	0.004	0.010284
273	70590	0.106	0.010301
274	70885	0.004	0.0103644
275	71337	0.002	0.0103651
276	71399	0.006	0.0102203
277	71432	0.672	0.00987325
278	71468	0.154	0.00949165
279	71599	0.174	0.0103226
280	71989	0.052	0.00986296
281	72428	0.822	0.00972132
282	72713	0.08	0.00947255
283	72799	0.004	0.00979807
284	72839	0.178	0.009775
285	73084	0.004	0.00981181
286	73385	0.1	0.00960623
287	73483	0.014	0.00997799
288	74263	0.096	0.00999812
289	74531	0.728	0.00984382
290	74600	0.728	0.00984382
291	74636	0.002	0.00983623
292	74770	0.004	0.0098082
293	74857	0.728	0.0098697
294	74953	0.904	0.0106176
295	75241	0.096	0.0106176
296	75443	0.012	0.0107786
297	75464	0.002	0.0107967
298	75558	0.176	0.0104828
299	75563	0.006	0.0104444
300	75581	0.004	0.0104939
301	75669	0.006	0.0104888
302	75954	0.824	0.0106298
303	76057	0.824	0.0106298
304	76064	0.176	0.0106298
305	76289	0.824	0.0106298
306	77030	0.176	0.0106298
307	77320	0.396	0.00934143
308	77382	0.016	0.0101171
309	77528	0.012	0.0101908
310	77610	0.002	0.0102695
311	77658	0.074	0.00947887
312	78128	0.838	0.0100548
313	78181	0.004	0.010776
314	78670	0.172	0.0101402
315	79049	0.002	0.0100961
316	79298	0.002	0.0101452
317	79395	0.014	0.0100232
318	79452	0.172	0.0103345
319	80314	0.358	0.00995429
320	80487	0.006	0.00990781
321	80842	0.156	0.00943508
322	80849	0.156	0.00943508
323	80975	0.358	0.00984022
324	81005	0.004	0.0110248
325	81045	0.002	0.0110185
326	81889	0.068	0.0108127
327	82124	0.002	0.0110605
328	82125	0.304	0.00896555
329	82333	0.696	0.00896555
330	82412	0.696	0.00896555
331	82433	0.002	0.00956066
332	82707	0.112	0.00819211
333	82708	0.014	0.00876505
334	82723	0.004	0.00894399
335	82967	0.006	0.00890431
336	83135	0.556	0.00855058
337	83219	0.534	0.00851437
338	83500	0.016	0.00897385
339	83597	0.016	0.00889124
340	84026	0.058	0.00887402
341	84500	0.016	0.00906856
342	84746	0.002	0.0090866
343	84823	0.068	0.00884466
344	85230	0.002	0.00903696
345	85280	0.28	0.00818724
346	85581	0.018	0.00812049
347	85623	0.1	0.00804238
348	85745	0.162	0.0085088
349	85768	0.038	0.00835185
350	85857	0.182	0.00834153
351	85980	0.282	0.00848755
352	85996	0.048	0.00823043
353	86069	0.014	0.00871623
354	86180	0.012	0.0088846
355	86989	0.434	0.00890995
356	87128	0.118	0.00840371
357	87270	0.002	0.0104268
358	87299	0.058	0.0102615
359	87331	0.086	0.0110585
360	87370	0.006	0.0111558
361	87587	0.01	0.0112662
362	88302	0.436	0.0112226
363	88402	0.152	0.0109831
364	88434	0.012	0.0109048
365	88764	0.004	0.0112836
366	89011	0.564	0.0112631
367	89083	0.03	0.0111782
368	89249	0.014	0.0110147
369	89255	0.534	0.0110558
370	89542	0.002	0.0110395
371	89545	0.436	0.0110586
372	89603	0.03	0.0114519
373	89724	0.282	0.0112787
374	89754	0.192	0.0108308
375	90624	0.004	0.0107986
376	91015	0.002	0.0109398
377	91159	0.192	0.0109398
378	91182	0.02	0.0119946
379	91220	0.012	0.0119893
380	91767	0.154	0.0118302
381	91914	0.534	0.0115645
382	92460	0.854	0.0126956
383	92901	0.006	0.0128242
384	93006	0.004	0.0128465
385	94594	0.016	0.0126736
386	94936	0.002	0.0127262
387	95657	0.002	0.0126586
388	95864	0.002	0.0126629
389	95899	0.058	0.0121072
390	96466	0.016	0.0122336
391	96594	0.158	0.0117943
392	97073	0.066	0.0115046
393	97260	0.314	0.0107153
394	97708	0.002	0.0113325
395	98113	0.016	0.0113169
396	98231	0.406	0.0104933
397	99159	0.156	0.0104421
398	99244	0.002	0.0109878
399	99579	0.856	0.00996933
400	99584	0.144	0.00996933
401	99848	0.002	0.0103863
402	99904	0.406	0.0101619
403	100171	0.808	0.0121034
404	100645	0.004	0.0130297
405	101286	0.288	0.0109472
406	102133	0.188	0.0109074
407	102597	0.006	0.0116359
408	102787	0.002	0.0116818
409	102913	0.23	0.0107395
410	103045	0.002	0.0116379
411	103252	0.284	0.0112928
412	103945	0.278	0.0112384
413	104367	0.074	0.0121842
414	104631	0.002	0.0124571
415	106691	0.078	0.012241
416	106876	0.006	0.0122281
417	107718	0.244	0.0114696
418	107734	0.212	0.00950266
419	107795	0.756	0.0101125
420	107897	0.006	0.0106844
421	108077	0.078	0.0106814
422	108110	0.002	0.0110916
423	108160	0.002	0.0110726
424	108277	0.002	0.0110673
425	108445	0.018	0.0110333
426	108465	0.004	0.0111068
427	109206	0.006	0.011086
428	109310	0.204	0.0100541
429	109364	0.012	0.0101631
430	109476	0.016	0.010088
431	109958	0.038	0.00975594
432	110097	0.018	0.00980812
433	110648	0.054	0.00971486
434	111008	0.56	0.00956885
435	111069	0.016	0.00952867
436	111292	0.002	0.00956883
437	111441	0.02	0.00903399
438	111478	0.202	0.00816204
439	111488	0.006	0.00844589
440	111539	0.094	0.0081754
441	111631	0.44	0.00819261
442	111896	0.06	0.00814192
443	112427	0.564	0.0081764
444	112674	0.094	0.00805889
445	112692	0.566	0.00826194
446	112759	0.008	0.00831363
447	112945	0.27	0.00799939
448	113029	0.006	0.00992553
449	113268	0.434	0.00991505
450	113485	0.078	0.00957149
451	113755	0.018	0.00996569
452	113792	0.066	0.00992212
453	113918	0.002	0.0105609
454	113972	0.086	0.00973737
455	114005	0.016	0.010107
456	114044	0.016	0.0100661
457	114119	0.434	0.0100642
458	114322	0.434	0.0100642
459	114409	0.006	0.0100191
460	114911	0.014	0.0100578
461	114941	0.002	0.0101795
462	115214	0.042	0.00992569
463	115256	0.002	0.0105225
464	115312	0.434	0.0104665
465	115383	0.004	0.0105932
466	115677	0.004	0.0104208
467	116272	0.008	0.0104011
468	116411	0.046	0.0102508
469	116433	0.054	0.0108672
470	116553	0.468	0.0106581
471	116822	0.012	0.0120222
472	117225	0.016	0.012246
473	117538	0.48	0.0120499
474	117565	0.42	0.0124731
475	117936	0.024	0.0126037
476	118605	0.088	0.0122188
477	119206	0.016	0.0127368
478	119278	0.432	0.0125268
479	119291	0.004	0.0125319
480	119577	0.434	0.0125704
481	120426	0.582	0.0126138
482	120438	0.004	0.0125464
483	120463	0.418	0.0128351
484	120613	0.222	0.012182
485	120933	0.542	0.0159351
486	120977	0.458	0.0159351
487	121214	0.458	0.0159351
488	121573	0.002	0.0159227
489	121992	0.458	0.0159474
490	122069	0.006	0.016429
491	122911	0.032	0.0164361
492	123139	0.062	0.0160032
493	123407	0.002	0.0160562
494	123582	0.032	0.0160984
495	123998	0.034	0.0155953
496	124682	0.474	0.0159112
497	124698	0.062	0.0157608
498	124822	0.526	0.0163871
499	124992	0.002	0.0188402
500	125101	0.002	0.018853
501	125446	0.004	0.0188617
502	125871	0.032	0.0188571
503	126503	0.002	0.0189548
504	126692	0.002	0.0189222
505	127024	0.08	0.0182781
506	127136	0.08	0.0182781
507	127665	0.006	0.0182762
508	128394	0.002	0.018304
509	129506	0.044	0.0181096
510	129599	0.876	0.0180028
511	129670	0.016	0.0184722
512	129748	0.002	0.0184794
513	129854	0.008	0.018396
514	130030	0.054	0.0173223
515	130119	0.002	0.0183785
516	130405	0.046	0.0175397
517	130484	0.006	0.0177176
518	130873	0.006	0.017649
519	130914	0.012	0.0177663
520	131044	0.002	0.0178327
521	131098	0.138	0.0173484
522	131149	0.862	0.0173484
523	131354	0.004	0.0175398
524	131886	0.838	0.0172082
525	131911	0.002	0.0172489
526	132243	0.002	0.0173534
527	132408	0.84	0.0173451
528	132486	0.016	0.0177343
529	132719	0.01	0.017688
530	132885	0.006	0.0178795
531	133293	0.056	0.0172149
532	133484	0.066	0.0161727
533	134057	0.012	0.0178458
534	134069	0.002	0.0181586
535	134182	0.072	0.0178085
536	134476	0.91	0.0176554
537	134627	0.074	0.0176948
538	134800	0.002	0.0177544
539	135194	0.006	0.0177222
540	135838	0.102	0.0178231
541	136079	0.028	0.019813
542	136081	0.09	0.019841
543	136523	0.006	0.0201554
544	137705	0.006	0.020133
545	139166	0.004	0.0202386
546	139434	0.106	0.018619
547	140079	0.004	0.0213961
548	140506	0.004	0.0213895
549	140637	0.872	0.0206904
550	141149	0.156	0.0182301
551	141235	0.09	0.0202559
552	141245	0.022	0.0202702
553	141255	0.004	0.0202739
554	142692	0.09	0.0203551
555	143011	0.91	0.0203551
556	143207	0.888	0.0203591
557	144770	0.01	0.0202483
558	144892	0.03	0.0197998
559	145263	0.09	0.020294
560	145795	0.018	0.0211116
561	146503	0.018	0.0211116
562	147201	0.014	0.0206537
563	147595	0.018	0.0210984
564	147882	0.982	0.0210984
565	148045	0.004	0.0210828
566	148426	0.002	0.0211256
567	148486	0.002	0.021072
568	148518	0.03	0.020663
569	149585	0.002	0.0206672
570	150248	0.002	0.0206589
571	150416	0.154	0.019257
572	150491	0.978	0.0194281
573	151010	0.006	0.0193375
574	151387	0.03	0.0193644
575	151530	0.022	0.0195048
576	151607	0.002	0.0195348
577	151728	0.012	0.0192487
578	152774	0.002	0.0192788
579	153152	0.112	0.0173676
580	153342	0.052	0.0179604
581	153744	0.004	0.0183114
582	153971	0.972	0.0181635
583	154196	0.086	0.016284
584	154245	0.972	0.0167335
585	154325	0.018	0.0164518
586	155866	0.03	0.0164468
587	155928	0.154	0.0158254
588	156737	0.03	0.0161553
589	156860	0.028	0.0162792
590	157173	0.016	0.0161723
591	157192	0.004	0.0164451
592	157536	0.074	0.0141436
593	157722	0.014	0.0150241
594	158055	0.004	0.0151771
595	158071	0.028	0.0151942
596	158148	0.03	0.0145548
597	158328	0.444	0.0121008
598	158411	0.028	0.0132842
599	158457	0.028	0.0132842
600	159037	0.14	0.0128193
601	159056	0.002	0.0140267
602	159068	0.052	0.0136964
603	159652	0.002	0.0145961
604	159691	0.29	0.0141788
605	160395	0.002	0.0162049
606	161026	0.066	0.015618
607	161352	0.002	0.0170194
608	161406	0.21	0.0149601
609	161408	0.004	0.0161243
610	162007	0.97	0.0160724
611	162225	0.002	0.0160615
612	162235	0.002	0.0160695
613	162952	0.008	0.0160333
614	163017	0.97	0.0160574
615	163082	0.002	0.0160547
616	163264	0.002	0.0160628
617	163367	0.022	0.0155557
618	164109	0.97	0.0160279
619	165991	0.024	0.0159369
620	166002	0.002	0.0162787
621	167569	0.022	0.0160011
622	167606	0.002	0.016576
623	167903	0.03	0.0164896
624	168027	0.97	0.0164896
625	168146	0.354	0.0152996
626	168153	0.97	0.0153661
627	168351	0.03	0.0153661
628	168726	0.004	0.0153075
629	168862	0.348	0.0151974
630	169053	0.08	0.0152918
631	169686	0.97	0.0163847
632	169742	0.03	0.0163847
633	170165	0.03	0.0163847
634	170328	0.112	0.0142055
635	170338	0.012	0.0144504
636	170442	0.014	0.0144416
637	170458	0.03	0.0142252
638	170683	0.03	0.0147405
639	170871	0.03	0.0147405
640	170896	0.97	0.0147405
641	171014	0.97	0.0147405
642	171374	0.97	0.0147405
643	171556	0.466	0.0127222
644	171586	0.03	0.0145089
645	171612	0.97	0.0145089
646	171807	0.128	0.0128551
647	171903	0.03	0.0147413
648	172049	0.97	0.0147413
649	172079	0.03	0.0147413
650	172089	0.03	0.0147413
651	172292	0.97	0.0147413
652	172294	0.002	0.0147282
653	172411	0.97	0.0147777
654	172453	0.036	0.0147056
655	172593	0.03	0.0148248
656	172801	0.022	0.0147744
657	173272	0.112	0.0148273
658	173737	0.004	0.0161462
659	174759	0.012	0.0157871
660	175246	0.028	0.0158072
661	175848	0.026	0.0157849
662	176212	0.002	0.0157298
663	176386	0.006	0.0156905
664	176998	0.008	0.0155741
665	177054	0.002	0.0156957
666	177195	0.008	0.0157007
667	177206	0.974	0.0157039
668	177637	0.006	0.0155703
669	177745	0.026	0.015625
670	177982	0.028	0.0155453
671	178151	0.006	0.015717
672	178243	0.026	0.0158311
673	179121	0.004	0.0158077
674	179341	0.01	0.0156942
675	179386	0.386	0.0140789
676	179976	0.29	0.0122345
677	180788	0.026	0.0126584
678	181032	0.002	0.0126746
679	181755	0.016	0.0124615
680	181800	0.004	0.0125749
681	182068	0.978	0.0125462
682	182839	0.058	0.0121341
683	183334	0.598	0.0119656
684	183965	0.284	0.0108483
685	184121	0.38	0.0109354
686	184159	0.62	0.0109354
687	184289	0.012	0.0106767
688	184622	0.604	0.0109747
689	184670	0.62	0.0109714
690	184787	0.32	0.0110457
691	185536	0.01	0.0119752
692	185539	0.284	0.0119215
693	185649	0.004	0.01211
694	185873	0.008	0.0121132
695	185915	0.1	0.011307
696	186023	0.02	0.012156
697	186111	0.016	0.0122686
698	186563	0.054	0.0116076
699	186676	0.004	0.0121714
700	187057	0.01	0.0119617
701	187075	0.002	0.0119762
702	187261	0.004	0.0119791
703	187277	0.28	0.0118549
704	187405	0.004	0.0122504
705	187522	0.422	0.0111882
706	187575	0.226	0.0107487
707	187680	0.006	0.0110577
708	187729	0.094	0.0105724
709	187870	0.01	0.0107684
710	188388	0.064	0.010837
711	188432	0.008	0.0117048
712	189331	0.292	0.0113774
713	189722	0.06	0.0121042
714	189976	0.002	0.0121409
715	189988	0.002	0.012208
716	190176	0.012	0.0123102
717	190242	0.002	0.0123172
718	190324	0.052	0.0123085
719	190405	0.008	0.0123206
720	190839	0.436	0.0116862
721	190916	0.006	0.0117435
722	191166	0.01	0.0118171
723	191511	0.51	0.0117643
724	191913	0.126	0.0107771
725	191984	0.002	0.0115029
726	192279	0.002	0.0115094
727	192392	0.052	0.0114534
728	193590	0.258	0.00996021
729	193701	0.294	0.0100204
730	194122	0.002	0.011062
731	194128	0.004	0.011057
732	194492	0.012	0.0109869
733	194953	0.004	0.0111323
734	195020	0.048	0.0110653
735	195178	0.014	0.0110648
736	195230	0.006	0.0111412
737	195328	0.008	0.0110086
738	195468	0.114	0.010531
739	195521	0.006	0.010624
740	195616	0.02	0.0106079
741	196061	0.032	0.0102968
742	196677	0.536	0.0101887
743	196820	0.006	0.0111581
744	197339	0.116	0.0109772
745	197392	0.116	0.0109772
746	197453	0.04	0.0108879
747	197475	0.01	0.0108537
748	197643	0.004	0.0109677
749	198249	0.052	0.0109194
750	198475	0.116	0.0111254
751	198957	0.034	0.0108952
752	199149	0.002	0.0110549
753	199239	0.034	0.0104864
754	199916	0.516	0.00965231
755	199938	0.014	0.00984803
756	200687	0.03	0.00973913
757	201456	0.144	0.00875091
758	201936	0.602	0.00939694
759	202068	0.052	0.00911899
760	202200	0.398	0.00928705
761	202575	0.034	0.00971523
762	202810	0.22	0.00911089
763	202906	0.008	0.00901323
764	203015	0.78	0.00912562
765	203327	0.34	0.00796928
766	203607	0.22	0.00812819
767	203921	0.78	0.00812819
768	203942	0.22	0.00812819
769	204259	0.324	0.00842285
770	204393	0.324	0.00842285
771	204772	0.07	0.0101947
772	204783	0.426	0.010032
773	204839	0.09	0.00993658
774	205495	0.004	0.0102388
775	205628	0.426	0.0101927
776	205899	0.566	0.010193
777	206388	0.004	0.010877
778	206505	0.002	0.0108868
779	206510	0.016	0.0108644
780	206717	0.038	0.0111341
781	206882	0.06	0.0111516
782	207950	0.41	0.0107343
783	209135	0.724	0.0127521
784	209416	0.004	0.012793
785	209678	0.004	0.012793
786	210034	0.27	0.0128009
787	210654	0.084	0.0126815
788	211010	0.002	0.0130101
789	211109	0.004	0.0130204
790	211226	0.008	0.0129931
791	211360	0.002	0.013006
792	211594	0.034	0.0124505
793	211616	0.008	0.0128845
794	211670	0.246	0.0122446
795	211765	0.076	0.0120959
796	212320	0.694	0.0127068
797	212618	0.06	0.012966
798	213594	0.082	0.0122583
799	213639	0.09	0.0121925
800	214196	0.058	0.012356
801	214216	0.134	0.01251
802	214743	0.006	0.0136836
803	215175	0.002	0.0137438
804	215336	0.014	0.0136913
805	215565	0.684	0.0135129
806	215614	0.002	0.0136072
807	216145	0.674	0.0136401
808	217689	0.086	0.0138652
809	217870	0.002	0.0144099
810	218232	0.302	0.0139178
811	218293	0.002	0.0146406
812	218574	0.006	0.0146112
813	219103	0.002	0.0146479
814	219882	0.006	0.0146605
815	220084	0.002	0.0147399
816	220332	0.002	0.0146273
817	220618	0.078	0.0137377
818	220747	0.002	0.0149949
819	220929	0.034	0.0145442
820	220937	0.076	0.0128159
821	221127	0.026	0.0135886
822	221299	0.002	0.0138228
823	221646	0.944	0.0133365
824	221653	0.056	0.0133365
825	221860	0.944	0.0133365
826	221927	0.008	0.0133141
827	221993	0.944	0.0133203
828	222010	0.004	0.0132864
829	222091	0.944	0.0133677
830	222376	0.086	0.0130639
831	222538	0.006	0.0136392
832	223827	0.644	0.0117654
833	223964	0.056	0.0123271
834	224177	0.944	0.0123271
835	224226	0.002	0.0122891
836	224255	0.056	0.0123158
837	224466	0.014	0.0120549
838	224514	0.944	0.0121905
839	224575	0.112	0.0113314
840	224751	0.944	0.0125619
841	225010	0.056	0.0125619
842	225380	0.016	0.0122664
843	225432	0.006	0.0123246
844	225440	0.014	0.0122362
845	225467	0.056	0.0124514
846	225915	0.056	0.0124514
847	225945	0.002	0.0123253
848	226063	0.048	0.0123054
849	226546	0.014	0.0122688
850	226813	0.954	0.011924
851	227135	0.002	0.011843
852	227186	0.002	0.0118342
853	227237	0.02	0.0116554
854	227271	0.954	0.0120321
855	227649	0.554	0.0115047
856	227744	0.554	0.0115047
857	228239	0.046	0.0126367
858	228253	0.056	0.0125812
859	228658	0.088	0.0124034
860	228965	0.008	0.0124351
861	229214	0.232	0.0102745
862	229394	0.092	0.0118572
863	229421	0.002	0.0118918
864	229451	0.002	0.0118823
865	229613	0.004	0.01187
866	229954	0.088	0.0118935
867	229984	0.046	0.0138904
868	231231	0.046	0.0138904
869	231269	0.012	0.0138092
870	231322	0.046	0.0140741
871	231468	0.046	0.0140741
872	231550	0.954	0.0140741
873	232229	0.954	0.0140741
874	232340	0.278	0.0131779
875	232550	0.954	0.0136143
876	233773	0.03	0.0131871
877	233985	0.002	0.0131743
878	234086	0.954	0.0131567
879	234182	0.026	0.0127947
880	234253	0.002	0.013059
881	234278	0.004	0.0130145
882	234386	0.03	0.013017
883	234492	0.046	0.0132367
884	234509	0.046	0.0132367
885	235254	0.034	0.012438
886	235583	0.014	0.0124504
887	235701	0.046	0.0126429
888	235726	0.048	0.012018
889	235747	0.278	0.0119173
890	236206	0.066	0.0117972
891	236342	0.046	0.0123424
892	237371	0.002	0.0123485
893	237798	0.016	0.0121748
894	237991	0.642	0.0115545
895	238127	0.004	0.0123712
896	238240	0.046	0.0122925
897	238582	0.25	0.0103965
898	239047	0.01	0.0134069
899	239677	0.014	0.0135854
900	239762	0.014	0.0134463
901	239951	0.672	0.0132072
902	239981	0.048	0.0130861
903	240236	0.672	0.013742
904	241444	0.008	0.0137159
905	241672	0.282	0.0135488
906	241777	0.672	0.0135101
907	242080	0.004	0.0146785
908	242248	0.046	0.0146899
909	242542	0.004	0.0146864
910	242615	0.924	0.0145675
911	243161	0.078	0.0136997
912	243298	0.004	0.0149452
913	243355	0.024	0.0148977
914	243452	0.534	0.0132509
915	243620	0.002	0.0132658
916	243645	0.422	0.0131385
917	243818	0.036	0.0128075
918	243865	0.422	0.0130921
919	243980	0.066	0.0125515
920	244006	0.006	0.0134151
921	244013	0.534	0.0133806
922	244264	0.578	0.0135054
923	244278	0.004	0.0135015
924	244336	0.006	0.0135402
925	244735	0.578	0.0136516
926	245396	0.002	0.0137356
927	245455	0.432	0.0136651
928	245703	0.016	0.0133383
929	245812	0.01	0.0136145
930	245905	0.044	0.0136659
931	246140	0.568	0.0136571
932	246571	0.044	0.0159157
933	246916	0.022	0.0157583
934	246978	0.002	0.0163281
935	247038	0.002	0.0162962
