pdist	gdist	derEHH	ancEHH	EHH
-63139	-0.063140	0.396639	0.009524	0.193469
-60794	-0.060795	0.396639	0.009524	0.193469
-60774	-0.060775	0.396639	0.009524	0.193469
-59124	-0.059125	0.396639	0.009524	0.193469
-59010	-0.059011	0.396639	0.009524	0.193469
-58832	-0.058833	0.396639	0.009524	0.193469
-58659	-0.058660	0.396639	0.028571	0.195102
-57086	-0.057087	0.433613	0.028571	0.213061
-57078	-0.057079	0.433613	0.028571	0.213061
-56850	-0.056851	0.433613	0.028571	0.213061
-55549	-0.055550	0.433613	0.028571	0.213061
-54950	-0.054951	0.438655	0.028571	0.215510
-53167	-0.053168	0.438655	0.028571	0.215510
-45940	-0.045941	0.438655	0.057143	0.217959
-39352	-0.039353	0.438655	0.057143	0.217959
-35100	-0.035101	0.438655	0.057143	0.217959
-34787	-0.034787	0.438655	0.066667	0.218776
-33494	-0.033494	0.438655	0.076190	0.219592
-33171	-0.033171	0.438655	0.076190	0.219592
-32939	-0.032939	0.438655	0.076190	0.219592
-31040	-0.031040	0.438655	0.076190	0.219592
-29084	-0.029084	0.438655	0.076190	0.219592
-28278	-0.028278	0.438655	0.076190	0.219592
-26815	-0.026815	0.477311	0.076190	0.238367
-26413	-0.026413	0.477311	0.076190	0.238367
-24982	-0.024982	0.477311	0.076190	0.238367
-23837	-0.023837	0.477311	0.076190	0.238367
-23295	-0.023295	0.477311	0.076190	0.238367
-21656	-0.021656	0.477311	0.076190	0.238367
-20499	-0.020499	0.477311	0.076190	0.238367
-18308	-0.018308	0.477311	0.114286	0.241633
-18067	-0.018067	0.477311	0.114286	0.241633
-17162	-0.017162	0.480672	0.123810	0.244082
-17015	-0.017015	0.642017	0.123810	0.322449
-15849	-0.015849	0.647059	0.123810	0.324898
-13555	-0.013555	0.647059	0.123810	0.324898
-10715	-0.010715	0.835294	0.123810	0.416327
-10415	-0.010415	0.835294	0.123810	0.416327
-9350	-0.009350	0.835294	0.123810	0.416327
-8365	-0.008365	0.835294	0.123810	0.416327
-8076	-0.008076	0.835294	0.123810	0.416327
-6559	-0.006559	0.835294	0.123810	0.416327
-6238	-0.006238	0.835294	0.123810	0.416327
-6131	-0.006131	0.835294	0.123810	0.416327
-6035	-0.006035	0.835294	0.123810	0.416327
-5611	-0.005611	0.835294	0.161905	0.419592
-4491	-0.004491	0.835294	0.161905	0.419592
-3857	-0.003857	0.835294	0.161905	0.419592
-3813	-0.003813	0.942857	0.161905	0.471837
-3531	-0.003531	0.942857	0.161905	0.471837
-3387	-0.003387	0.942857	0.161905	0.471837
-3054	-0.003054	0.942857	0.200000	0.475102
-3037	-0.003037	0.942857	0.200000	0.475102
-2652	-0.002652	0.942857	0.247619	0.479184
-2565	-0.002565	0.942857	0.304762	0.484082
-2509	-0.002509	0.942857	0.352381	0.488163
-420	-0.000420	1.000000	0.752381	0.550204
0	0.000000	1.000000	1.000000	0.571429
305	0.000305	1.000000	1.000000	0.571429
474	0.000474	1.000000	0.752381	0.550204
1373	0.001373	1.000000	0.638095	0.540408
2278	0.002278	1.000000	0.380952	0.518367
2758	0.002758	1.000000	0.380952	0.518367
5363	0.005363	1.000000	0.209524	0.503673
5912	0.005912	1.000000	0.209524	0.503673
6715	0.006715	1.000000	0.161905	0.499592
7506	0.007506	1.000000	0.161905	0.499592
8129	0.008129	1.000000	0.161905	0.499592
8340	0.008340	1.000000	0.142857	0.497959
12676	0.012676	1.000000	0.142857	0.497959
12737	0.012737	1.000000	0.142857	0.497959
13377	0.013377	1.000000	0.142857	0.497959
13452	0.013452	0.838655	0.142857	0.419592
13504	0.013504	0.838655	0.142857	0.419592
13594	0.013594	0.838655	0.123810	0.417959
13667	0.013667	0.838655	0.123810	0.417959
18492	0.018492	0.838655	0.123810	0.417959
18736	0.018736	0.838655	0.123810	0.417959
19241	0.019241	0.410084	0.123810	0.209796
19754	0.019754	0.410084	0.123810	0.209796
20075	0.020075	0.410084	0.114286	0.208980
20834	0.020834	0.410084	0.114286	0.208980
22318	0.022319	0.383193	0.114286	0.195918
23344	0.023345	0.292437	0.076190	0.148571
23621	0.023622	0.292437	0.076190	0.148571
23623	0.023624	0.292437	0.076190	0.148571
24707	0.024708	0.292437	0.076190	0.148571
24813	0.024814	0.292437	0.076190	0.148571
25022	0.025023	0.292437	0.076190	0.148571
25552	0.025553	0.292437	0.076190	0.148571
25712	0.025713	0.292437	0.076190	0.148571
25713	0.025714	0.292437	0.076190	0.148571
25734	0.025735	0.292437	0.076190	0.148571
26840	0.026841	0.292437	0.076190	0.148571
28147	0.028148	0.292437	0.076190	0.148571
29168	0.029169	0.292437	0.076190	0.148571
30285	0.030286	0.292437	0.076190	0.148571
30838	0.030839	0.292437	0.076190	0.148571
31432	0.031433	0.292437	0.076190	0.148571
31863	0.031864	0.292437	0.076190	0.148571
32115	0.032116	0.292437	0.076190	0.148571
33937	0.033938	0.292437	0.076190	0.148571
34855	0.034856	0.292437	0.076190	0.148571
36314	0.036315	0.292437	0.047619	0.146122
36931	0.036932	0.292437	0.047619	0.146122
37383	0.037384	0.292437	0.047619	0.146122
37894	0.037895	0.292437	0.047619	0.146122
38282	0.038283	0.292437	0.047619	0.146122
39809	0.039810	0.292437	0.047619	0.146122
40174	0.040175	0.292437	0.047619	0.146122
41082	0.041083	0.278992	0.047619	0.139592
42604	0.042605	0.278992	0.047619	0.139592
42761	0.042762	0.273950	0.047619	0.137143
43462	0.043463	0.273950	0.047619	0.137143
44168	0.044169	0.250420	0.047619	0.125714
44996	0.044997	0.248739	0.047619	0.124898
45334	0.045335	0.248739	0.047619	0.124898
45348	0.045349	0.248739	0.047619	0.124898
45644	0.045645	0.248739	0.047619	0.124898
46714	0.046715	0.248739	0.047619	0.124898
47115	0.047116	0.248739	0.047619	0.124898
47122	0.047123	0.248739	0.047619	0.124898
47473	0.047474	0.248739	0.047619	0.124898
48948	0.048949	0.248739	0.047619	0.124898
49711	0.049712	0.248739	0.047619	0.124898
50039	0.050040	0.248739	0.047619	0.124898
50045	0.050046	0.248739	0.047619	0.124898
52656	0.052657	0.248739	0.047619	0.124898
54038	0.054039	0.248739	0.047619	0.124898
54167	0.054168	0.248739	0.047619	0.124898
54371	0.054372	0.248739	0.047619	0.124898
54596	0.054597	0.248739	0.028571	0.123265
55526	0.055527	0.248739	0.028571	0.123265
56644	0.056645	0.248739	0.028571	0.123265
56877	0.056878	0.248739	0.028571	0.123265
57996	0.057997	0.248739	0.028571	0.123265
58340	0.058341	0.238655	0.028571	0.118367
58432	0.058433	0.238655	0.028571	0.118367
59033	0.059034	0.238655	0.028571	0.118367
59864	0.059865	0.238655	0.028571	0.118367
60268	0.060269	0.238655	0.028571	0.118367
60284	0.060285	0.238655	0.028571	0.118367
60926	0.060927	0.238655	0.028571	0.118367
60964	0.060965	0.238655	0.028571	0.118367
61595	0.061596	0.238655	0.028571	0.118367
61726	0.061727	0.238655	0.028571	0.118367
61866	0.061867	0.238655	0.028571	0.118367
61875	0.061876	0.238655	0.028571	0.118367
62369	0.062370	0.238655	0.028571	0.118367
62964	0.062965	0.238655	0.028571	0.118367
63439	0.063440	0.238655	0.028571	0.118367
63683	0.063684	0.238655	0.028571	0.118367
63931	0.063932	0.238655	0.028571	0.118367
65709	0.065710	0.238655	0.028571	0.118367
66090	0.066091	0.238655	0.028571	0.118367
66262	0.066263	0.238655	0.028571	0.118367
66265	0.066266	0.238655	0.028571	0.118367
66524	0.066525	0.238655	0.028571	0.118367
71938	0.071939	0.238655	0.028571	0.118367
71943	0.071944	0.238655	0.028571	0.118367
72793	0.072794	0.238655	0.028571	0.118367
72841	0.072842	0.238655	0.028571	0.118367
73309	0.073310	0.238655	0.028571	0.118367
74587	0.074588	0.230252	0.028571	0.114286
76305	0.076306	0.230252	0.028571	0.114286
79971	0.079972	0.230252	0.028571	0.114286
83114	0.083115	0.230252	0.028571	0.114286
84607	0.084608	0.230252	0.028571	0.114286
84988	0.084989	0.230252	0.028571	0.114286
85402	0.085403	0.230252	0.028571	0.114286
85567	0.085568	0.230252	0.028571	0.114286
86323	0.086324	0.230252	0.028571	0.114286
86935	0.086936	0.230252	0.028571	0.114286
87399	0.087400	0.142857	0.028571	0.071837
88256	0.088257	0.142857	0.028571	0.071837
89284	0.089285	0.142857	0.028571	0.071837
90383	0.090384	0.142857	0.028571	0.071837
90398	0.090399	0.142857	0.028571	0.071837
92140	0.092141	0.139496	0.028571	0.070204
92202	0.092203	0.139496	0.028571	0.070204
95228	0.095229	0.139496	0.028571	0.070204
95619	0.095620	0.139496	0.028571	0.070204
95765	0.095766	0.139496	0.028571	0.070204
96168	0.096169	0.139496	0.028571	0.070204
96187	0.096188	0.139496	0.028571	0.070204
96421	0.096422	0.139496	0.028571	0.070204
96426	0.096427	0.139496	0.028571	0.070204
96932	0.096933	0.139496	0.028571	0.070204
97103	0.097104	0.139496	0.028571	0.070204
97581	0.097582	0.139496	0.028571	0.070204
98125	0.098126	0.139496	0.028571	0.070204
98307	0.098308	0.139496	0.028571	0.070204
98423	0.098424	0.139496	0.028571	0.070204
99287	0.099288	0.139496	0.028571	0.070204
99356	0.099357	0.139496	0.028571	0.070204
99813	0.099814	0.139496	0.028571	0.070204
